,Anio,Mes,Negocios y otros motivos profesionales,"Ocio, recreo y vacaciones",Otros motivos,Total
118,2024,12,917138,5843167.0,7560712.0,14321016
117,2024,11,1446891,4963616.0,5151353.0,11561861
116,2024,10,1585018,5840034.0,5061278.0,12486330
115,2024,9,1500899,8694369.0,5905925.0,16101193
114,2024,8,816337,16351105.0,7700172.0,24867614
113,2024,7,1191969,12197275.0,6055554.0,19444798
112,2024,6,1493527,9541447.0,5752651.0,16787625
111,2024,5,1579148,7456377.0,5461850.0,14497375
110,2024,4,1476684,7061062.0,5270282.0,13808028
109,2024,3,1299865,7802164.0,6638974.0,15741003
108,2024,2,1346188,5360244.0,4969486.0,11675918
107,2024,1,1234944,5207078.0,6696326.0,13138348
106,2023,12,1191746,6402069.0,8040289.0,15634104
105,2023,11,1813624,4779119.0,4784525.0,11377268
104,2023,10,1594784,7292058.0,5755319.0,14642161
103,2023,9,1557147,8450000.0,5252004.0,15259151
102,2023,8,713512,16615072.0,7617987.0,24946571
101,2023,7,1352704,12937533.0,6055643.0,20345881
100,2023,6,1501420,8662396.0,5310521.0,15474338
99,2023,5,1805981,7577484.0,6026912.0,15410377
98,2023,4,1780742,9055347.0,6715048.0,17551137
97,2023,3,1733511,5118234.0,4645760.0,11497505
96,2023,2,1427279,4979332.0,4716985.0,11123596
95,2023,1,1359964,4722341.0,6550769.0,12633075
94,2022,12,1037534,5446136.0,7034836.0,13518506
93,2022,11,1509344,4812139.0,4691906.0,11013389
92,2022,10,1497389,6219651.0,5631630.0,13348670
91,2022,9,1061627,7751712.0,5294109.0,14107448
90,2022,8,657515,15279271.0,7442469.0,23379255
89,2022,7,865211,12529155.0,5887312.0,19281679
88,2022,6,1425598,7834592.0,4683238.0,13943429
87,2022,5,1498389,6948578.0,6082914.0,14529882
86,2022,4,1225424,8402029.0,6538715.0,16166168
85,2022,3,1331530,4619832.0,4726719.0,10678081
84,2022,2,1353823,4584277.0,4926340.0,10864440
83,2022,1,1048495,3992843.0,5515856.0,10557194
82,2021,12,893555,4747490.0,6444009.0,12085054
81,2021,11,1432385,4350100.0,5094978.0,10877463
80,2021,10,1361832,6380988.0,5638916.0,13381736
79,2021,9,1031676,8087638.0,5491386.0,14610700
78,2021,8,630732,15161186.0,8266169.0,24058088
77,2021,7,715049,10801917.0,6849041.0,18366007
76,2021,6,1119042,7323503.0,6052225.0,14494769
75,2021,5,1261665,5019131.0,5426487.0,11707283
74,2021,4,1116883,3198047.0,3776893.0,8091823
73,2021,3,1007888,1938359.0,3074422.0,6020670
72,2021,2,912408,1002371.0,2351598.0,4266377
71,2021,1,888791,1079751.0,2964949.0,4933492
70,2020,12,865831,1164683.0,3322927.0,5353441
69,2020,11,968173,1367703.0,2350972.0,4686848
68,2020,10,895948,3147383.0,3104440.0,7147771
67,2020,9,821462,5955119.0,4260382.0,11036963
66,2020,8,677136,12695996.0,7273551.0,20646682
65,2020,7,698506,8325736.0,5428605.0,14452848
64,2020,6,606201,2806048.0,3287179.0,6699428
63,2020,5,348707,422571.0,1047734.0,1819012
62,2020,4,149242,,,508820
61,2020,3,559141,2035365.0,1846537.0,4441043
60,2020,2,1643311,5044146.0,5169130.0,11856587
59,2020,1,1153979,4769129.0,6951310.0,12874418
58,2019,12,925365,5989557.0,8298409.0,15213332
57,2019,11,1624842,5089381.0,5634532.0,12348755
56,2019,10,1705136,5722170.0,5522492.0,12949798
55,2019,9,1303587,8830575.0,6176085.0,16310247
54,2019,8,792247,16493876.0,7675796.0,24961920
53,2019,7,1170057,12475930.0,6198315.0,19844302
52,2019,6,1686131,9764933.0,6102876.0,17553939
51,2019,5,1644454,7626174.0,5960241.0,15230869
50,2019,4,1318926,9605834.0,6764822.0,17689582
49,2019,3,1535472,7081500.0,6011346.0,14628319
48,2019,2,1347306,6001476.0,5900468.0,13249251
47,2019,1,1073293,5485809.0,7335300.0,13894402
46,2018,12,965459,5493509.0,7072525.0,13531493
45,2018,11,1440868,5195661.0,5468924.0,12105452
44,2018,10,1585696,6464278.0,6455026.0,14505001
43,2018,9,1356516,9087784.0,6659960.0,17104259
42,2018,8,878865,16925052.0,8418100.0,26222017
41,2018,7,1278698,12760229.0,7206960.0,21245888
40,2018,6,1798155,8953495.0,5731046.0,16482696
39,2018,5,1647573,7950146.0,6386770.0,15984489
38,2018,4,1671815,9764934.0,6811064.0,18247813
37,2018,3,1430965,6612408.0,5636135.0,13679509
36,2018,2,1469335,5671371.0,5572199.0,12712905
35,2018,1,1243181,5142876.0,7871890.0,14257947
34,2017,12,1168983,5206794.0,7329096.0,13704873
33,2017,11,1416292,4727102.0,5314622.0,11458016
32,2017,10,1387771,6964462.0,6520326.0,14872558
31,2017,9,1277223,9177851.0,6580133.0,17035207
30,2017,8,904119,16412699.0,8504971.0,25821789
29,2017,7,1142631,12903936.0,7087880.0,21134448
28,2017,6,1536255,9067409.0,5521327.0,16124991
27,2017,5,1661930,7766842.0,6202446.0,15631218
26,2017,4,1412172,9958013.0,7260601.0,18630786
25,2017,3,1632705,5943666.0,5484561.0,13060931
24,2017,2,1400309,5342051.0,5628385.0,12370745
23,2017,1,1281049,4622991.0,7939688.0,13843727
22,2016,12,965795,4371202.0,7425128.0,12762124
21,2016,11,1211242,4508946.0,5579581.0,11299768
20,2016,10,1499682,5903892.0,6420143.0,13823717
19,2016,9,1460039,8071373.0,6299195.0,15830606
18,2016,8,913291,15227759.0,8713622.0,24854673
17,2016,7,1404372,11791339.0,7102305.0,20298016
16,2016,6,1666167,7691699.0,5725531.0,15083396
15,2016,5,1562232,7176505.0,6680858.0,15419595
14,2016,4,1575087,5064046.0,5634348.0,12273482
13,2016,3,1093832,7830579.0,7142645.0,16067056
12,2016,2,1470215,4489267.0,5516653.0,11476135
11,2016,1,1266741,3797067.0,7698466.0,12762274
10,2015,12,1060103,4188422.0,7377293.0,12625818
9,2015,11,1316783,4582444.0,5919744.0,11818971
8,2015,10,1491053,5358744.0,6440613.0,13290411
7,2015,9,1129648,7457823.0,6596042.0,15183513
6,2015,8,562537,14652305.0,9595101.0,24809944
5,2015,7,1274941,10293764.0,6753615.0,18322321
4,2015,6,2152339,7623671.0,5829062.0,15605072
3,2015,5,1690830,6608010.0,6515460.0,14814300
2,2015,4,1553530,7546401.0,7236696.0,16336628
1,2015,3,1604882,4520604.0,5482707.0,11608193
0,2015,2,1501367,3527378.0,5105716.0,10134462
